suburb,postcode,lat,lng,n_addresses,level
SPRINGWOOD,4127,-27.620223,153.133653,5494,suburb_postcode
WONDECLA,4887,-17.421587,145.426215,410,suburb_postcode
SAPPHIRE CENTRAL,4702,-23.465267,147.719644,703,suburb_postcode
COORPAROO,4151,-27.497754,153.059342,12060,suburb_postcode
CARINA,4152,-27.490018,153.094991,6549,suburb_postcode
STAFFORD,4053,-27.409125,153.015245,4543,suburb_postcode
FLYING FISH POINT,4860,-17.495362,146.075503,238,suburb_postcode
WALLOON,4306,-27.600707,152.656745,1842,suburb_postcode
PALM COVE,4879,-16.746557,145.667603,3836,suburb_postcode
PALMVIEW,4553,-26.739272,153.056645,5074,suburb_postcode
MORAYFIELD,4506,-27.116233,152.946127,17639,suburb_postcode
PARKWOOD,4214,-27.955243,153.363971,3430,suburb_postcode
BUCCA,4670,-24.859292,152.121435,500,suburb_postcode
JONDARYAN,4403,-27.373757,151.590251,268,suburb_postcode
ARCADIA,4819,-19.148335,146.8641,503,suburb_postcode
WILLAWONG,4110,-27.601457,153.023879,594,suburb_postcode
WISHART,4122,-27.554144,153.099461,4367,suburb_postcode
MANLY,4179,-27.455524,153.183369,2593,suburb_postcode
PEREGIAN BEACH,4573,-26.477697,153.094888,3513,suburb_postcode
PITTSWORTH,4356,-27.71656,151.633779,1930,suburb_postcode
PIALBA,4655,-25.281957,152.834002,4057,suburb_postcode
ALDERLEY,4051,-27.425058,153.001494,4019,suburb_postcode
SOUTH JOHNSTONE,4859,-17.596686,145.996018,338,suburb_postcode
MILES,4415,-26.655649,150.190211,1728,suburb_postcode
BALMORAL RIDGE,4552,-26.761445,152.888674,187,suburb_postcode
COOPERS PLAINS,4108,-27.566304,153.039845,4137,suburb_postcode
MARYBOROUGH,4650,-25.528148,152.697406,9296,suburb_postcode
BUSHLAND BEACH,4818,-19.197625,146.674001,2872,suburb_postcode
ASHGROVE,4060,-27.443698,152.990015,6912,suburb_postcode
ASCOT,4007,-27.430856,153.066695,4828,suburb_postcode
JONES GULLY,4355,-27.177541,152.009612,17,suburb_postcode
WOOLLOONGABBA,4102,-27.492654,153.038284,8653,suburb_postcode
NEW AUCKLAND,4680,-23.881878,151.23478,2600,suburb_postcode
RUSSELL ISLAND,4184,-27.675531,153.382574,11922,suburb_postcode
NOOSA HEADS,4567,-26.393171,153.0889,6654,suburb_postcode
NEWTOWN,4350,-27.556279,151.935282,6172,suburb_postcode
LAKE MACDONALD,4563,-26.377676,152.928355,763,suburb_postcode
CURRIMUNDI,4551,-26.768781,153.121153,3212,suburb_postcode
ROCKLEA,4106,-27.551815,153.011744,2480,suburb_postcode
KURRIMINE BEACH,4871,-17.778236,146.102805,644,suburb_postcode
COOLUM BEACH,4573,-26.5317,153.086888,8127,suburb_postcode
WOREE,4868,-16.95776,145.743531,3362,suburb_postcode
NINDAROO,4740,-21.065873,149.130484,103,suburb_postcode
TARA,4421,-27.203661,150.459126,1800,suburb_postcode
SUNRISE BEACH,4567,-26.415636,153.104262,2170,suburb_postcode
WINFIELD,4670,-24.522391,152.017678,162,suburb_postcode
CARDWELL,4849,-18.264367,146.023929,1369,suburb_postcode
DONNYBROOK,4510,-27.004778,153.068269,719,suburb_postcode
NINDERRY,4561,-26.540409,152.975827,557,suburb_postcode
NINGI,4511,-27.06812,153.096924,2447,suburb_postcode
EMERALD,4720,-23.526715,148.161014,9606,suburb_postcode
CLEVELAND,4163,-27.529054,153.269385,10798,suburb_postcode
DECEPTION BAY,4508,-27.190766,153.023248,9446,suburb_postcode
KEWARRA BEACH,4879,-16.787864,145.678976,3326,suburb_postcode
MERRIMAC,4226,-28.049442,153.363782,3414,suburb_postcode
MIDDLE RIDGE,4350,-27.603605,151.96187,3697,suburb_postcode
STRATHPINE,4500,-27.30159,152.991317,5866,suburb_postcode
MANUNDA,4870,-16.919822,145.747222,4022,suburb_postcode
BEACHMERE,4510,-27.127649,153.051346,2752,suburb_postcode
COOLANGATTA,4225,-28.168089,153.534924,8275,suburb_postcode
SUNSET,4825,-20.709964,139.508138,980,suburb_postcode
BROADBEACH WATERS,4218,-28.028832,153.421151,5187,suburb_postcode
TOWNSVILLE CITY,4810,-19.259541,146.816195,4335,suburb_postcode
BOWEN,4805,-20.007081,148.238509,7392,suburb_postcode
NATHAN,4111,-27.543415,153.043502,457,suburb_postcode
WATERFORD WEST,4133,-27.689277,153.121916,3915,suburb_postcode
SAMFORD VALLEY,4520,-27.367871,152.863795,1374,suburb_postcode
NORTH LAKES,4509,-27.222593,153.013493,10491,suburb_postcode
PIONEER,4825,-20.720063,139.506554,1110,suburb_postcode
MORANBAH,4744,-22.003688,148.054638,5528,suburb_postcode
DIMBULAH,4872,-17.14815,145.108472,662,suburb_postcode
BIRKDALE,4159,-27.496505,153.216149,6883,suburb_postcode
KURANDA,4881,-16.820746,145.626015,1862,suburb_postcode
TINANA,4650,-25.554534,152.672457,2900,suburb_postcode
BURLEIGH HEADS,4220,-28.092436,153.446743,11953,suburb_postcode
RIVERBEND,4280,-27.81798,152.9841,355,suburb_postcode
CLIFTON,4361,-27.932252,151.909944,1303,suburb_postcode
TALLAI,4213,-28.070979,153.338605,1649,suburb_postcode
SPRINGFIELD,4300,-27.654398,152.913278,3322,suburb_postcode
MACHANS BEACH,4878,-16.852868,145.747293,799,suburb_postcode
EAST RUSSELL,4861,-17.233342,145.96969,155,suburb_postcode
HARRISTOWN,4350,-27.578686,151.931556,5562,suburb_postcode
QUILPIE,4480,-26.61701,144.267487,733,suburb_postcode
DINMORE,4303,-27.594855,152.831569,640,suburb_postcode
CLERMONT,4721,-22.826869,147.63622,2381,suburb_postcode
DOONAN,4562,-26.450947,153.001771,2011,suburb_postcode
RUNAWAY BAY,4216,-27.918627,153.402166,6444,suburb_postcode
NELLY BAY,4819,-19.157435,146.848942,1623,suburb_postcode
ACACIA RIDGE,4110,-27.584277,153.02282,5064,suburb_postcode
SUNSHINE BEACH,4567,-26.404706,153.109045,2358,suburb_postcode
JOYNER,4500,-27.281335,152.943457,1970,suburb_postcode
FREESTONE,4370,-28.1328,152.152201,147,suburb_postcode
JUBILEE POCKET,4802,-20.285618,148.729408,1237,suburb_postcode
TABLELANDS,4605,-26.173245,151.932675,72,suburb_postcode
BURLEIGH WATERS,4220,-28.086869,153.430939,7364,suburb_postcode
INALA,4077,-27.597966,152.97068,6208,suburb_postcode
MORNINGSIDE,4170,-27.467261,153.073262,7473,suburb_postcode
TINGALPA,4173,-27.47398,153.132147,4677,suburb_postcode
FERNY HILLS,4055,-27.395171,152.941278,3455,suburb_postcode
MILLBANK,4670,-24.87544,152.321948,1357,suburb_postcode
MAROOCHYDORE,4558,-26.655106,153.085637,19150,suburb_postcode
CLINTON,4680,-23.877331,151.216003,3080,suburb_postcode
FORESHORES,4678,-24.111919,151.499222,99,suburb_postcode
BELLMERE,4510,-27.089375,152.923892,2851,suburb_postcode
WANDOAN,4419,-26.120746,149.963591,639,suburb_postcode
MAREEBA,4880,-16.999752,145.425442,6840,suburb_postcode
DURACK,4077,-27.58841,152.985769,3840,suburb_postcode
PROSERPINE,4800,-20.404201,148.582732,2415,suburb_postcode
KEDRON,4031,-27.405189,153.03079,5877,suburb_postcode
VARSITY LAKES,4227,-28.084885,153.410952,9038,suburb_postcode
BUNDAMBA,4304,-27.605328,152.812671,3847,suburb_postcode
NOBBY,4360,-27.853091,151.900733,604,suburb_postcode
HENDRA,4011,-27.420547,153.068967,2746,suburb_postcode
BELLBOWRIE,4070,-27.562314,152.880577,2211,suburb_postcode
BLACK RIVER,4818,-19.240848,146.622804,721,suburb_postcode
NORTH WARD,4810,-19.248862,146.809045,4771,suburb_postcode
CAIRNS CITY,4870,-16.920878,145.775081,6540,suburb_postcode
BOONDALL,4034,-27.351571,153.060768,4570,suburb_postcode
RAVENSBOURNE,4352,-27.35637,152.168723,233,suburb_postcode
HOLLAND PARK WEST,4121,-27.523897,153.06053,3478,suburb_postcode
MUNDINGBURRA,4812,-19.295778,146.785143,1986,suburb_postcode
BRACKEN RIDGE,4017,-27.322529,153.032062,7170,suburb_postcode
SANDGATE,4017,-27.317275,153.066909,2971,suburb_postcode
CRESTMEAD,4132,-27.689877,153.090119,4865,suburb_postcode
FRESHWATER,4870,-16.882014,145.714462,1277,suburb_postcode
COSGROVE,4818,-19.268,146.70813,542,suburb_postcode
BARINGA,4551,-26.808837,153.077182,2718,suburb_postcode
NEW FARM,4005,-27.466213,153.044157,9757,suburb_postcode
CAMPASPE,4820,-20.385792,145.909243,57,suburb_postcode
CONDAMINE PLAINS,4352,-27.681578,151.305236,53,suburb_postcode
BURKETOWN,4830,-17.740941,139.546325,384,suburb_postcode
ROCHEDALE,4123,-27.574073,153.117598,4596,suburb_postcode
CROWS NEST,4355,-27.264713,152.055886,1485,suburb_postcode
GYMPIE,4570,-26.184372,152.66712,7848,suburb_postcode
ASPLEY,4034,-27.365006,153.016526,7091,suburb_postcode
BUCCAN,4207,-27.740426,153.138694,801,suburb_postcode
TRAVESTON,4570,-26.322697,152.767081,247,suburb_postcode
BRANYAN,4670,-24.911061,152.287782,2117,suburb_postcode
REDBANK PLAINS,4301,-27.653113,152.854103,11541,suburb_postcode
CLAYFIELD,4011,-27.419099,153.054156,7620,suburb_postcode
CHINCHILLA,4413,-26.746269,150.629002,4542,suburb_postcode
NUDGEE,4014,-27.367245,153.086794,2274,suburb_postcode
WULKURAKA,4305,-27.611128,152.734319,691,suburb_postcode
MOWBRAY,4877,-16.568154,145.475429,177,suburb_postcode
CAMP MOUNTAIN,4520,-27.397192,152.8823,530,suburb_postcode
